Name,Representation,Count,ESG_Categories
40_fees_fee_management fees_arcc,"fees,fee,management fees,arcc,incentive,management,arccs,fund,paid,performance,earn,structure",38,"Environmental,Governance"
43_funds_performance_funds performance_investments,"funds,performance,funds performance,investments,fund,investments lower,investment,return investments,lower,investment returns,performance funds,returns",36,"Environmental,Governance"
60_analysts_announcements_stock_securities analysts,"analysts,announcements,stock,securities analysts,price,trading,investment community,common,variations,community,actual anticipated,common stock",30,"Environmental,Social"
63_minerals_disclosure_disclosure requirements_conflict minerals,"minerals,disclosure,disclosure requirements,conflict minerals,republic,conflict,mineral,disclosures,mined,sec,disclose,diligence",27,"Environmental,Social,Governance"
81_gross_margins_gross margins_mix,"gross,margins,gross margins,mix,pricing,vary,vary time,margin,cost structures,component,fiscal,product mix",24,Environmental
90_uranium_project_nuclear_energy,"uranium,project,nuclear,energy,canyon project,mesa,canyon,copper,white mesa,feed,electricity,white",23,Environmental
98_continue invest_invested_significant resources_invest,"continue invest,invested,significant resources,invest,product process,expect continue,process technology,continue,resources research,invested expect,development,substantial investments",21,Environmental
110_cuts_tax cuts_jobs act_jobs,"cuts,tax cuts,jobs act,jobs,cuts jobs,act,2017 tax,2017,signed law,signed,act 2017,tax",19,Environmental
129_reduction_distributors_sales_customers significantly,"reduction,distributors,sales,customers significantly,reduce revenues,net revenue,changing,behavior,decrease,respective markets,resources expenditures,revenue businesses",16,Environmental
133_lose investment_lose_trading price_stock decline,"lose investment,lose,trading price,stock decline,price,decline lose,effect stock,trading,stock,dividends,meet commitments,stock price",16,Environmental
144_disaster_disaster recovery_recovery_continuity,"disaster,disaster recovery,recovery,continuity,business continuity,inadequate,planning,failure perform,eventualities,providers impair,redundant,operate effectively",15,Environmental
146_manage growth_growth_manage_effectively manage,"manage growth,growth,manage,effectively manage,able manage,effectively,organic growth,growth effectively,organic,ability generate,grow,able",14,Environmental
149_extraction_hazards_mining_recovery,"extraction,hazards,mining,recovery,exploration,extraction mining,mineral,risks normally,normally,mining recovery,processing,risks",14,Environmental
150_future performance_rely past_indication future_historical trends,"future performance,rely past,indication future,historical trends,trends,performance,indication,rely,capital costs,indicator future,indicator,restarting",14,"Environmental,Governance"
151_demand products_customers material_recur future_demand,"demand products,customers material,recur future,demand,recur,spending,decreased,result decreased,slowdowns,reduction,future periods,revenue",14,Environmental
160_pricing_pricing policies_changes customer_force,"pricing,pricing policies,changes customer,force,margins,reduce,programming,cost increases,control production,current historical,adjust new,implements",13,Environmental
163_development_cycle_customer specifications_chain management,"development,cycle,customer specifications,chain management,solutions,research development,specifications,research,complexity,increases,product development,development time",13,Environmental
165_diligence_conduct diligence_ability evaluate_facts,"diligence,conduct diligence,ability evaluate,facts,disclosures,completeness,zev,zev ventures,evaluate,respect,actions taken,investment opportunity",13,"Environmental,Governance"
170_risk factors_1a risk_item 1a_1a,"risk factors,1a risk,item 1a,1a,item,risk,contains forward,looking statements,forward looking,looking,factors,contains",13,"Environmental,Governance"
175_research development_research_investments_significant revenues,"research development,research,investments,significant revenues,make investments,development,land,recover,make,years,able,future acquire",12,Environmental
187_electronic_money_privacy_laundering,"electronic,money,privacy,laundering,anti,laws,consumer protection,trading,import export,broad,protection,governing",11,"Environmental,Governance"
220_publish_analysts_trading volume_industry analysts,"publish,analysts,trading volume,industry analysts,trading,stock trading,reports,coverage,inaccurate,analysts cover,research business,volume",9,Environmental
225_forum_directors officers_delaware_asserting,"forum,directors officers,delaware,asserting,officers employees,claim,officers,court,exclusive forum,action,exclusive,certificate incorporation",9,Environmental
230_beps_oecd_profit shifting_erosion profit,"beps,oecd,profit shifting,erosion profit,standing,represents,base erosion,shifting,erosion,tax principles,economic operation,operation development",9,Environmental
248_unable_discontinue_development efforts_timely basis,"unable,discontinue,development efforts,timely basis,projects failure,event unable,mentioned factors,potentially cause,abandon development,programs able,retain services,development",7,Environmental
264_accounts receivable_receivable_accounts_collection accounts,"accounts receivable,receivable,accounts,collection accounts,risk excess,exposed,credit risks,collection,risk,distributors,costs percentage,difficult collect",7,"Environmental,Governance"
266_1a risk_1a_item 1a_item,"1a risk,1a,item 1a,item,energy fuels,fuels,risk,risk factors,cause future,factorsour businesses,factorsthe following,factorsthe",7,"Environmental,Governance"
